FAA Site     Short Name  Airport Name                               City                               ST  Latitude        Longitude        Tower
03200.2*A    FD57        BAGGETT                                    FORT PIERCE                        FL  27-28-11.1360N  080-24-59.1880W  N
03200.03*A   7FL8        DRAGONFLY                                  FORT PIERCE                        FL  27-26-38.1410N  080-33-54.2000W  N
03201.13*A   FL67        EVANS PROPERTIES INC                       FORT PIERCE                        FL  27-16-40.1610N  080-35-09.2000W  N
03200.21*H   75FD        FP & L NUCLEAR POWER PLANT                 FORT PIERCE                        FL  27-21-06.1520N  080-14-42.1720W  N
03200.04*A   FL29        HALES 700                                  FORT PIERCE                        FL  27-21-40.1510N  080-34-15.1990W  N
03201.01*H   FD19        LAWNWOOD MEDICAL CENTER                    FORT PIERCE                        FL  27-25-58.4000N  080-20-45.7500W  N
03200.*A     FD30        SOUTHEASTERN                               FORT PIERCE                        FL  27-24-41.1440N  080-31-34.1970W  N
03202.*A     FPR         TREASURE COAST INTL                        FORT PIERCE                        FL  27-29-50.9000N  080-22-21.5000W  Y
03202.62*H   FA14        BROADWAY HELICOPTERS                       FORT WALTON BEACH                  FL  30-23-51.7190N  086-35-38.8290W  N
03202.6*H    FD45        FORT WALTON BEACH MEDICAL CTR              FORT WALTON BEACH                  FL  30-27-13.7140N  086-38-06.8320W  N
03202.61*A   NKL         HOLLEY NOLF                                FORT WALTON BEACH                  FL  30-25-30.7140N  086-53-37.8590W  N
03202.8*A    FD31        BRADLEY                                    FORT WHITE                         FL  29-55-40.8470N  082-42-04.4360W  N
03203.2*A    68FD        MARAN                                      FOUNTAIN                           FL  30-31-20.0000N  085-22-36.0000W  N
03204.51*A   0FD3        DUGGER FIELD                               FREEPORT                           FL  30-29-47.1000N  086-05-37.8000W  N
03206.12*C   FD46        GODDARD SEADROME                           FROSTPROOF                         FL  27-45-19.1030N  081-30-50.2710W  N
03206.02*H   38FD        GRIFFIN'S MAIN OFFICE                      FROSTPROOF                         FL  27-44-13.1060N  081-31-55.2720W  N
03206.11*A   52FL        LAKE CLINCH AIRPARK                        FROSTPROOF                         FL  27-45-04.6900N  081-33-32.9400W  N
03206.03*A   4FL5        RIDGE LANDING                              FROSTPROOF                         FL  27-45-19.0000N  081-35-59.0000W  N
03206.4*A    5FA1        FLYING PALOMINO RANCH                      FRUITLAND PARK                     FL  28-52-40.9520N  081-56-27.2970W  N
03206.41*A   FL99        FLYING-H                                   FRUITLAND PARK                     FL  28-52-33.9540N  081-53-20.2920W  N
03210.15*H   8FL7        CAPRA FARMS                                GAINESVILLE                        FL  29-41-07.8780N  082-28-33.3950W  N
03210.*A     GNV         GAINESVILLE RGNL                           GAINESVILLE                        FL  29-41-24.2000N  082-16-18.4000W  Y
03210.21*A   FD81        GLEIM FIELD                                GAINESVILLE                        FL  29-42-09.8780N  082-25-32.3890W  N
03210.22*H   FA56        NORTH FLORIDA RGNL MEDICAL CENTER          GAINESVILLE                        FL  29-39-41.4000N  082-24-43.6000W  N
03210.13*H   63FL        SHANDS CAIR                                GAINESVILLE                        FL  29-38-07.8600N  082-21-02.0600W  N
03210.16*H   FA12        SHANDS HELISTOP                            GAINESVILLE                        FL  29-38-20.8830N  082-20-43.3760W  N
03210.14*H   53FL        UNIVERSITY OF FLORIDA                      GAINESVILLE                        FL  29-38-38.8830N  082-21-11.3770W  N
03210.1*H    FA39        VETERANS ADMINISTRATION MEDICAL CENTER     GAINESVILLE                        FL  29-38-13.8830N  082-21-43.3770W  N
03212.2*C    0FL2        ALLIGATOR DRINK                            GENEVA                             FL  28-47-15.9700N  081-09-51.2200W  N
03212.1*A    01FL        CEDAR KNOLL FLYING RANCH                   GENEVA                             FL  28-46-54.9700N  081-09-33.2200W  N
03212.*A     FD92        SOUTHERLAND STRIP                          GENEVA                             FL  28-43-57.9780N  081-04-43.2180W  N
03214.5*A    FD27        CUYLER FIELD                               GLEN ST MARY                       FL  30-21-45.8400N  082-13-34.4170W  N
03216.*A     FD26        KIRKLAND                                   GRACEVILLE                         FL  30-58-54.6570N  085-29-32.7580W  N
03217.*A     1FD0        LAWRENCE                                   GRAND RIDGE                        FL  30-42-55.6920N  085-01-27.7260W  N
03219.01*A   7FL4        HALLER AIRPARK                             GREEN COVE SPRINGS                 FL  29-54-10.8740N  081-41-09.3220W  N
03219.*A     FL60        REYNOLDS AIRPARK                           GREEN COVE SPRINGS                 FL  29-58-20.8720N  081-39-39.3230W  N
03219.4*A    5FL6        FLAT CREEK                                 GREENSBORO                         FL  30-36-15.6940N  084-47-26.7020W  N
03219.85*A   9FL8        FINLAYSON FARM                             GREENVILLE                         FL  30-36-59.7270N  083-39-08.5670W  N
03219.86*A   20FD        PRATT                                      GREENVILLE                         FL  30-25-31.7510N  083-34-33.5460W  N
03220.32*A   5FL8        CHIPOLA AIRPARK                            GREENWOOD                          FL  30-53-17.6780N  085-10-03.7460W  N
03221.2*C    FD78        KENNEDY                                    GROVELAND                          FL  28-36-10.9900N  081-50-58.2800W  N
03221.1*A    02FA        OSBORN AIRFIELD                            GROVELAND                          FL  28-31-35.9990N  081-52-29.2800W  N
03221.11*G   6FL0        SEMINOLE LAKE                              GROVELAND                          FL  28-24-21.0190N  081-50-16.2790W  N
03221.*A     FA42        SHEETS                                     GROVELAND                          FL  28-31-58.3200N  081-50-48.1800W  N
03221.6*H    FD47        GULF BREEZE HOSPITAL                       GULF BREEZE                        FL  30-21-33.7170N  087-09-31.8860W  N
03222.111*A  4FL9        GORE                                       HAINES CITY                        FL  28-08-36.0590N  081-38-49.2730W  N
03222.09*H   2FL9        HEART OF FLORIDA MEDICAL CENTER            HAINES CITY                        FL  28-10-47.0500N  081-38-20.2700W  N
03222.11*C   FA73        OAK HARBOR                                 HAINES CITY                        FL  28-07-44.0610N  081-41-16.2770W  N
03222.6*A    8FL6        GEORGE T MC CUTCHAN                        HAROLD                             FL  30-40-24.6890N  086-51-06.8550W  N
03222.61*H   NZX         HAROLD NOLF                                HAROLD                             FL  30-40-50.6880N  086-53-13.8590W  N
03222.72*A   13FA        EARLE AIRPARK                              HASTINGS                           FL  29-41-39.8900N  081-30-49.2800W  N
03222.73*A   2FA7        FRONTIER                                   HASTINGS                           FL  29-38-07.0000N  081-27-55.0000W  N
03222.74*A   8FL0        HUTSON AIRFIELD                            HASTINGS                           FL  29-43-40.8910N  081-26-23.2710W  N
03222.71*A   46FD        TATER FARMS STRIP                          HASTINGS                           FL  29-40-04.8910N  081-29-50.2760W  N
03223.11*A   FA26        DOGWOOD FARM                               HAVANA                             FL  30-32-14.0000N  084-27-07.0000W  N
03223.*A     76FD        PEAVY FARMS                                HAVANA                             FL  30-40-13.7010N  084-24-50.6660W  N
03223.1*A    FD55        RUTTEN DUSTING STRIP                       HAVANA                             FL  30-40-45.7020N  084-22-08.6600W  N
03223.12*A   9FL2        SARANAC FARM                               HAVANA                             FL  30-39-09.0000N  084-28-29.0000W  N
03226.1*A    7FD2        DRAKE RANCH                                HERNANDO                           FL  28-59-24.9230N  082-19-49.3440W  N
03226.01*A   5FL7        TWELVE OAKS                                HERNANDO                           FL  28-58-40.9240N  082-21-49.3470W  N
03228.48*H   84FL        CAPELETTI                                  HIALEAH                            FL  25-55-31.3380N  080-17-59.1810W  N
03228.5*H    7FD3        CENTRAL DISTRICT POLICE STATION            HIALEAH                            FL  25-51-11.3460N  080-14-49.1770W  N
03228.49*H   1FA5        PALMETTO GENERAL HOSPITAL                  HIALEAH                            FL  25-53-11.7300N  080-19-35.8000W  N
03230.12*A   7FL7        LAZY S FARM                                HIGH SPRINGS                       FL  29-52-06.8560N  082-38-04.4260W  N
03230.1*A    6J8         OAK TREE LANDING                           HIGH SPRINGS                       FL  29-43-12.5000N  082-39-50.2500W  N
03230.81*A   01J         HILLIARD AIRPARK                           HILLIARD                           FL  30-41-09.4800N  081-54-22.8350W  N
03232.*H     81FA        JOHNSON RANCH                              HOBE SOUND                         FL  27-02-02.0000N  080-09-59.0000W  N
03236.016*H  44FD        HARD ROCK                                  HOLLYWOOD                          FL  26-03-02.6900N  080-12-39.2000W  N
03236.08*H   FL56        HOLLYWOOD HELIPAD                          HOLLYWOOD                          FL  26-02-43.8000N  080-12-57.0000W  N
03236.01*A   FL65        MAC-IVOR & FRIENDS AIRSTRIP                HOLLYWOOD                          FL  26-02-41.3220N  080-22-24.1870W  N
03236.02*H   77FD        MEMORIAL RGNL HOSPITAL                     HOLLYWOOD                          FL  26-01-07.5400N  080-10-52.7700W  N
03236.*A     HWO         NORTH PERRY                                HOLLYWOOD                          FL  26-00-04.4000N  080-14-26.6000W  Y
03238.*A     FD93        YELLOW RIVER AIRSTRIP                      HOLT                               FL  30-41-07.6870N  086-44-49.8420W  N
03243.2*A    11FA        B & L FARMS                                HOMESTEAD                          FL  25-35-01.3850N  080-29-59.2050W  N
03242.*A     HST         HOMESTEAD ARB                              HOMESTEAD                          FL  25-29-18.7823N  080-23-00.8391W  Y
03242.1*A    X51         HOMESTEAD GENERAL AVIATION                 HOMESTEAD                          FL  25-29-57.2303N  080-33-15.2802W  N
03242.3*A    78FD        MAC'S FIELD                                HOMESTEAD                          FL  25-32-47.3900N  080-27-56.2020W  N
03242.25*H   FD34        MOTORSPORTS COMPLEX EMS                    HOMESTEAD                          FL  25-27-13.0000N  080-24-41.0000W  N
03242.24*H   FD17        MOTORSPORTS COMPLEX VIP                    HOMESTEAD                          FL  25-26-55.0000N  080-24-36.0000W  N
03242.8*A    04FA        RICHARDS FIELD                             HOMESTEAD                          FL  25-33-31.3890N  080-30-54.2060W  N
03242.23*H   FA47        SOUTH DADE COMMUNITY HEALTH CENTER         HOMESTEAD                          FL  25-33-58.2500N  080-21-29.4500W  N
03242.26*A   4FD3        THE WRIGHT PLACE                           HOMESTEAD                          FL  25-30-54.9100N  080-30-48.6000W  N
03244.*H     FA27        PERRYDISE                                  HOMOSASSA                          FL  28-45-36.7100N  082-37-43.6400W  N
03245.02*A   59FD        BIG CYPRESS AIRFIELD                       IMMOKALEE                          FL  26-19-34.3500N  080-59-16.6800W  N
03245.09*H   0FA6        IMMOKALEE HELIPAD                          IMMOKALEE                          FL  26-23-54.0000N  081-24-52.8000W  N
03245.*A     IMM         IMMOKALEE RGNL                             IMMOKALEE                          FL  26-26-01.7549N  081-24-04.9583W  N
03247.91*A   80FD        BRADY RANCH                                INDIANTOWN                         FL  27-06-48.1810N  080-38-00.2020W  N
03247.92*A   FA24        HORSESHOE ACRES AIRPARK                    INDIANTOWN                         FL  27-05-36.0000N  080-36-44.0000W  N
03248.*A     X58         INDIANTOWN                                 INDIANTOWN                         FL  27-02-15.0000N  080-26-27.6000W  N
03248.9*A    FL82        OAK RIDGE                                  INTERLACHEN                        FL  29-34-49.9300N  081-51-40.2500W  N
03249.03*H   FD96        CITRUS MEMORIAL HOSPITAL                   INVERNESS                          FL  28-50-02.5000N  082-20-07.3000W  N
03249.*A     INF         INVERNESS                                  INVERNESS                          FL  28-48-13.0000N  082-19-05.8000W  N
03249.5*C    FA05        HOLIDAY ISLE                               ISLAMORADA                         FL  24-56-05.4760N  080-36-03.2230W  N
03249.8*A    2FD2        MARJORIE KENNAN RAWLINGS                   ISLAND GROVE                       FL  29-28-46.0000N  082-03-12.0500W  N
03250.12*H   7FD4        BAPTIST MEDICAL CENTER                     JACKSONVILLE                       FL  30-18-56.8620N  081-39-44.3430W  N
03250.3*A    VQQ         CECIL                                      JACKSONVILLE                       FL  30-13-07.6000N  081-52-37.8000W  Y
03250.2*A    FD48        DEEP FOREST                                JACKSONVILLE                       FL  30-14-30.8700N  081-26-59.3070W  N
03250.01*H   FD11        FPC                                        JACKSONVILLE                       FL  30-18-40.8610N  081-40-29.3450W  N
03250.13*C   0FL8        GARY GALE                                  JACKSONVILLE                       FL  30-11-38.0000N  081-40-55.0000W  N
03250.*A     HEG         HERLONG RECREATIONAL                       JACKSONVILLE                       FL  30-16-40.0000N  081-48-21.4000W  N
03251.*A     CRG         JACKSONVILLE EXECUTIVE AT CRAIG            JACKSONVILLE                       FL  30-20-10.8000N  081-30-52.0000W  Y
03250.1*A    JAX         JACKSONVILLE INTL                          JACKSONVILLE                       FL  30-29-38.6000N  081-41-16.2000W  Y
03253.*A     NIP         JACKSONVILLE NAS (TOWERS FLD)              JACKSONVILLE                       FL  30-14-01.3417N  081-40-33.8059W  Y
03250.4*H    8FL8        JACKSONVILLE POLICE                        JACKSONVILLE                       FL  30-19-30.8620N  081-39-04.3420W  N
03250.04*H   FD87        JACKSONVILLE PRE-TRIAL DETENTION FACILITY  JACKSONVILLE                       FL  30-19-31.8620N  081-39-02.3420W  N
03250.03*H   6FL1        MAYO CLINIC                                JACKSONVILLE                       FL  30-15-53.9000N  081-26-27.1000W  N
03252.1*H    FA65        MEMORIAL MEDICAL CENTER OF JACKSONVILLE    JACKSONVILLE                       FL  30-17-30.0000N  081-36-03.0000W  N
03250.5*H    FA41        MOSQUITO CONTROL                           JACKSONVILLE                       FL  30-26-27.8610N  081-28-38.3200W  N
03252.5*H    FA61        SHANDS JACKSONVILLE HOSPITAL               JACKSONVILLE                       FL  30-20-55.8600N  081-39-59.3460W  N
03250.02*H   FD58        ST LUKE'S HOSPITAL                         JACKSONVILLE                       FL  30-15-10.8660N  081-35-02.3280W  N
03250.6*H    35FL        ST VINCENT'S MEDICAL CENTER                JACKSONVILLE                       FL  30-18-29.7600N  081-41-25.8900W  N
03250.05*H   FD76        THOMAS CONTRACTING                         JACKSONVILLE                       FL  30-09-28.0000N  081-32-16.0000W  N
03254.*A     NEN         WHITEHOUSE NOLF                            JACKSONVILLE                       FL  30-20-58.1820N  081-52-01.1620W  Y
03255.*H     45FD        BAPTIST MEDICAL CENTER/BEACHES             JACKSONVILLE BEACH                 FL  30-16-22.8700N  081-23-54.3020W  N
03257.7*H    FA15        HAMILTON HELISTOP                          JASPER                             FL  30-31-23.7800N  082-57-23.4850W  N
03257.71*A   FD63        SQUIRES AVIATION RANCH                     JASPER                             FL  30-30-46.0000N  083-11-54.0000W  N
03258.63*A   56FL        BUCHANAN                                   JAY                                FL  30-52-33.6680N  087-12-26.8900W  N
03258.6*A    FL06        GOLDEN HARVEST FLYING SVC INC              JAY                                FL  30-54-10.6640N  087-02-37.8790W  N
03258.61*A   FL96        JAY                                        JAY                                FL  30-57-20.6590N  087-07-49.8900W  N
03258.62*H   FA16        JAY HOSPITAL                               JAY                                FL  30-56-59.6600N  087-09-02.8920W  N
03258.56*A   50FL        ODOM'S FLYING SERVICE                      JAY                                FL  30-51-12.0000N  087-14-22.0000W  N
03258.54*A   FD82        PORTER                                     JAY                                FL  30-50-25.6720N  087-06-20.8860W  N
03258.55*A   85FL        THOMAS FARMS                               JAY                                FL  30-58-09.6570N  087-03-05.8800W  N
03258.57*A   14FL        WELLS FLYING SERVICE                       JAY                                FL  30-51-55.6690N  087-10-39.8950W  N
03258.64*A   FA11        BIRD FIELD                                 JENNINGS                           FL  30-37-20.7500N  083-15-33.5280W  N
03258.69*H   2FL4        BRADY                                      JUNO BEACH                         FL  26-51-21.0000N  080-04-29.0000W  N
03258.68*H   59FL        FLORIDA POWER & LIGHT-JUNO BEACH           JUNO BEACH                         FL  26-51-34.2170N  080-03-26.1480W  N
03258.74*A   82FL        BR RANCH                                   JUPITER                            FL  26-54-51.2090N  080-12-19.1630W  N
03258.731*H  81FD        FLYING H                                   JUPITER                            FL  26-55-02.2080N  080-11-59.1620W  N
03258.73*H   60FL        JUPITER MEDICAL CENTER                     JUPITER                            FL  26-55-32.0000N  080-05-46.0000W  N
03258.75*A   FD15        TAILWINDS                                  JUPITER                            FL  26-58-46.2000N  080-13-07.1640W  N
03258.721*A  06FA        WILLIAM P GWINN                            JUPITER                            FL  26-54-29.3510N  080-19-42.2905W  Y
03259.31*A   5FL1        EZELL                                      KEATON BEACH                       FL  29-54-11.7810N  083-36-28.5280W  N
03259.3*A    6FL4        SYLVANMIR FARMS                            KEATON BEACH                       FL  29-49-15.7910N  083-34-23.5210W  N
03260.02*A   4FL1        ESCAPE RANCH                               KENANSVILLE                        FL  27-51-46.0000N  080-57-29.0000W  N
03260.03*A   33FL        FLYING S RANCH                             KENANSVILLE                        FL  27-51-39.1000N  080-59-59.5000W  N
03260.04*C   80FA        LAKE MARIAN                                KENANSVILLE                        FL  27-53-11.0000N  081-05-02.0000W  N
03260.*A     FD09        RLM FARMS                                  KENANSVILLE                        FL  27-48-36.0960N  080-51-32.2170W  N
03260.8*A    07FA        OCEAN REEF CLUB                            KEY LARGO                          FL  25-19-31.4150N  080-16-29.1890W  N
03262.21*H   7FA0        FLORIDA KEYS MEMORIAL HOSPITAL             KEY WEST                           FL  24-35-01.5240N  081-44-39.3250W  N
03263.*A     EYW         KEY WEST INTL                              KEY WEST                           FL  24-33-22.0000N  081-45-34.4000W  Y
03264.*A     NQX         KEY WEST NAS /BOCA CHICA FIELD/            KEY WEST                           FL  24-34-28.6934N  081-41-11.9236W  Y
03263.2*A    7FA1        SUGAR LOAF SHORES                          KEY WEST                           FL  24-38-55.5160N  081-34-47.3100W  N
03262.*A     42J         KEYSTONE AIRPARK                           KEYSTONE HEIGHTS                   FL  29-50-41.1000N  082-02-51.1000W  N
03267.13*H   1FL1        AMERICA'S CHOPPER PILOTS                   KISSIMMEE                          FL  28-18-42.0380N  081-27-54.2600W  N
03267.04*C   43FD        COLE'S                                     KISSIMMEE                          FL  28-17-28.0000N  081-23-14.0000W  N
03267.06*H   85FD        FLORIDA HOSPITAL KISSIMMEE                 KISSIMMEE                          FL  28-18-55.0370N  081-24-21.2550W  N
03115.03*H   3FA2        FLY HIGH                                   KISSIMMEE                          FL  28-20-45.0000N  081-39-52.0000W  N
03267.07*H   FA48        FOUR POINTS SHERATON LAKESIDE              KISSIMMEE                          FL  28-20-22.0330N  081-35-43.2660W  N
03267.5*H    FD54        GOLD EAGLE HELICOPTERS INC                 KISSIMMEE                          FL  28-20-05.0000N  081-30-05.0000W  N
03267.01*H   FD41        GRAND CYPRESS RESORT                       KISSIMMEE                          FL  28-22-53.0280N  081-30-47.2610W  N
03267.6*H    36FA        HAWKEYE HELI-TOURS                         KISSIMMEE                          FL  28-20-03.0000N  081-29-21.0000W  N
03267.*C     FA17        KISSIMMEE                                  KISSIMMEE                          FL  28-17-01.0410N  081-24-32.2550W  N
03267.03*H   6FA8        ORLANDO SUN RESORT                         KISSIMMEE                          FL  28-20-02.0340N  081-32-05.2630W  N
03267.02*H   12FD        OSCEOLA RGNL HOSPITAL                      KISSIMMEE                          FL  28-17-55.0390N  081-24-39.2550W  N
03267.125*H  19FD        OSCEOLA SHERIFF'S OFC - BRONSON HWY        KISSIMMEE                          FL  28-16-30.3600N  081-20-11.4000W  N
03267.3*A    FD83        STOUT                                      KISSIMMEE                          FL  28-15-31.0440N  081-23-02.2540W  N
03267.2*C    FD12        TOHO                                       KISSIMMEE                          FL  28-15-01.0460N  081-23-29.2540W  N
03270.3*A    FL88        BOB PAUL                                   LA BELLE                           FL  26-41-01.2460N  081-26-59.2750W  N
03270.17*A   05FL        CHARLTON STRIP                             LA BELLE                           FL  26-31-12.8000N  081-24-36.8000W  N
03270.4*A    17FA        COTTON STRIP                               LA BELLE                           FL  26-42-48.2440N  081-32-07.2810W  N
03270.21*A   FA18        DEVILS GARDEN STRIP                        LA BELLE                           FL  26-26-39.0000N  081-01-13.0000W  N
03270.11*A   08FA        DUDA AIRSTRIP                              LA BELLE                           FL  26-34-47.2610N  081-29-01.2790W  N
03270.18*H   1FL9        HENDRY COUNTY FIRE-EMS                     LA BELLE                           FL  26-44-47.0000N  081-25-43.0000W  N
03270.1*A    X14         LA BELLE MUNI                              LA BELLE                           FL  26-44-26.1000N  081-25-41.8000W  N
03270.16*A   95FD        SOUTH POINT                                LA BELLE                           FL  26-46-06.0000N  081-32-20.0000W  N
03270.13*A   FD20        SUNDANCE FARMS                             LA BELLE                           FL  26-48-01.2310N  081-29-06.2760W  N
03270.12*A   FA51        WILLIAM'S SKY MANOR                        LA BELLE                           FL  26-44-20.2390N  081-30-22.2780W  N
03273.*H     FL20        VILLAGE OF HOMEWOOD LADY LAKE              LADY LAKE                          FL  28-56-59.0100N  081-57-35.5600W  N
03277.*A     FL03        DEPARTMENT OF CORRECTIONS FIELD            LAKE BUTLER                        FL  29-59-30.8620N  082-21-59.4070W  N
03279.1*A    15FL        CANNON CREEK AIRPARK                       LAKE CITY                          FL  30-09-13.4740N  082-39-59.0610W  N
03279.11*A   FD84        DELTA                                      LAKE CITY                          FL  30-07-30.8360N  082-39-49.4430W  N
03279.3*A    FL05        HILL LANDING STRIP                         LAKE CITY                          FL  30-10-31.8350N  082-36-23.4410W  N
03279.2*A    FL27        LAKE CITY AIRPARK                          LAKE CITY                          FL  30-02-37.8500N  082-36-14.4300W  N
03279.*A     LCQ         LAKE CITY GATEWAY                          LAKE CITY                          FL  30-10-55.4000N  082-34-36.7000W  Y
03279.32*H   1FL2        LAKE CITY MEDICAL CENTER                   LAKE CITY                          FL  30-11-08.8200N  082-41-17.4400W  N
03279.01*H   86FL        LAKE SHORE HOSPITAL                        LAKE CITY                          FL  30-11-31.7800N  082-37-50.7900W  N
03279.02*A   FL50        ROSSI FIELD                                LAKE CITY                          FL  30-08-47.8400N  082-34-20.4400W  N
03279.31*A   1FL3        Z RANCH                                    LAKE CITY                          FL  30-02-03.8300N  082-46-55.4500W  N
03284.5*A    FD49        MONTGOMERY'S FLYING M RANCH                LAKE PANASOFFKEE                   FL  28-46-24.9580N  082-07-49.3130W  N
03285.1*A    90FD        BLUE HEAD RANCH                            LAKE PLACID                        FL  27-09-45.1810N  081-32-34.2760W  N
03285.21*H   30FA        FLORIDA HOSPITAL LAKE PLACID               LAKE PLACID                        FL  27-19-13.9400N  081-22-13.7200W  N
03285.2*A    08FL        J H HENDRIE FARMS                          LAKE PLACID                        FL  27-05-04.1890N  081-19-43.2600W  N
03285.*A     FD72        KINGS PORT                                 LAKE PLACID                        FL  27-10-58.1760N  081-23-26.2640W  N
03285.02*A   03FA        LAKE PERSIMMON AIRSTRIP                    LAKE PLACID                        FL  27-21-11.1510N  081-24-29.2630W  N
03285.14*A   3FD0        LAST CHANCE RANCH                          LAKE PLACID                        FL  27-01-18.1990N  081-27-04.2710W  N
03285.11*A   09FA        PLACID LAKES                               LAKE PLACID                        FL  27-14-44.1680N  081-24-47.2640W  N
03285.12*A   FA60        VINCE'S CONDOMINIUM ASSOCIATION            LAKE PLACID                        FL  27-14-20.1680N  081-23-09.2620W  N
03288.13*A   52FA        BENT WILLIES                               LAKE WALES                         FL  27-56-22.6000N  081-25-55.3000W  N
03288.2*A    X25         CHALET SUZANNE AIR STRIP                   LAKE WALES                         FL  27-57-13.7000N  081-36-05.1000W  N
03288.23*A   62FL        DAVID WINE'S AIRSTRIP                      LAKE WALES                         FL  27-50-40.0000N  081-26-23.0000W  N
03288.1*H    FA45        LAKE WALES                                 LAKE WALES                         FL  27-54-58.0850N  081-32-55.2720W  N
03288.*A     X07         LAKE WALES MUNI                            LAKE WALES                         FL  27-53-38.0000N  081-37-13.5000W  N
03288.22*C   9FD0        SAGE SEADROME                              LAKE WALES                         FL  27-56-44.0790N  081-24-12.2600W  N
03288.11*H   6FL7        TIMMER                                     LAKE WALES                         FL  27-50-04.8100N  081-26-15.1200W  N
03288.71*A   7FD6        LOXAHATCHEE                                LAKE WORTH                         FL  26-37-21.2440N  080-18-19.1740W  N
03288.72*H   42FD        PALM BEACH STATE COLLEGE                   LAKE WORTH                         FL  26-36-38.6400N  080-05-15.4500W  N
03281.21*A   FL43        BURNTWOOD RANCH                            LAKELAND                           FL  28-15-29.0000N  081-55-50.0000W  N
03281.2*A    FD33        GREEN SWAMP AERODROME                      LAKELAND                           FL  28-12-42.0450N  081-59-55.2910W  N
03281.13*C   8FA0        LAKE GIBSON                                LAKELAND                           FL  28-06-31.0630N  081-57-31.2930W  N
03283.*A     LAL         LAKELAND LINDER RGNL                       LAKELAND                           FL  27-59-20.1000N  082-01-06.8000W  Y
03281.14*H   7FD7        LAKELAND RGNL MEDICAL CENTER               LAKELAND                           FL  28-03-43.9500N  081-57-15.3200W  N
03281.16*H   40FD        LITTLE'S                                   LAKELAND                           FL  28-00-38.0790N  081-52-44.2920W  N
03281.1*A    X49         SOUTH LAKELAND                             LAKELAND                           FL  27-56-00.0890N  082-02-38.3060W  N
03289.01*A   2FA9        MOUNT OLIVE FARM                           LAMONT                             FL  30-20-11.0000N  083-47-01.0000W  N
03289.*A     4FL0        TURKEY SCRATCH PLANTATION                  LAMONT                             FL  30-24-13.0000N  083-48-36.0000W  N
03290.*H     FA06        PINELLAS COUNTY SHERIFF'S BUILDING         LARGO                              FL  27-53-29.0810N  082-47-21.3680W  N
03291.03*H   07FL        CITRUS COUNTY MOSQUITO CONTROL HOME BASE   LECANTO                            FL  28-52-36.8000N  082-29-27.9000W  N
03293.*A     99FL        MADISON COUNTY                             LEE                                FL  30-26-50.7660N  083-18-39.5190W  N
03294.11*A   10FA        FLYING BARON ESTATES                       LEESBURG                           FL  28-47-50.9620N  081-56-09.2940W  N
03295.*H     3FD2        L R M C EMERGENCY HELISTOP                 LEESBURG                           FL  28-48-29.9630N  081-52-01.2880W  N
03298.*A     LEE         LEESBURG INTL                              LEESBURG                           FL  28-49-22.4000N  081-48-30.3000W  Y
03295.5*A    51FD        TEX MERRITT PRIVATE AIRSTRIP               LEESBURG                           FL  28-40-03.9790N  081-55-05.2880W  N
03299.*H     50FA        LEHIGH ACRES RGNL MEDICAL CENTER           LEHIGH ACRES                       FL  26-36-59.7860N  081-39-32.9260W  N
03304.*A     0FL6        STANCHESTER                                LITHIA                             FL  27-48-21.0985N  082-08-24.3174W  N
03305.*A     FD42        COOKSEY BROTHERS                           LIVE OAK                           FL  30-12-41.8060N  083-03-16.4760W  N
03305.2*A    FL08        FLORIDA SHERIFFS BOYS RANCH                LIVE OAK                           FL  30-24-55.7890N  083-00-59.4830W  N
03305.21*A   FL09        KITTYHAWK ESTATES                          LIVE OAK                           FL  30-20-19.7890N  083-08-39.4940W  N
03305.16*A   45FL        MOSS MEADOWS                               LIVE OAK                           FL  30-14-14.8140N  082-54-23.4630W  N
03305.14*A   FA88        PITTMAN OAKS                               LIVE OAK                           FL  30-25-30.1500N  083-02-54.4900W  N
03305.15*A   FD61        RED BARN ACRES                             LIVE OAK                           FL  30-10-35.8110N  082-59-52.4690W  N
03305.13*A   9FL0        SUWANNEE BELLE                             LIVE OAK                           FL  30-05-32.8080N  083-05-07.4780W  N
03305.1*A    24J         SUWANNEE COUNTY                            LIVE OAK                           FL  30-18-01.4000N  083-01-27.8000W  N
03305.01*H   9FL9        SUWANNEE HOSPITAL EMERGENCY                LIVE OAK                           FL  30-17-28.8040N  083-00-14.4730W  N
03305.12*A   FL07        WINGS N SUNSETS LLC                        LIVE OAK                           FL  30-15-00.8120N  082-55-26.4650W  N
03308.35*A   FL80        LEE FARMS                                  LOWELL                             FL  29-20-01.8132N  082-09-57.2220W  N
03308.46*H   FA19        PALMS WEST HOSPITAL HELISTOP               LOXAHATCHEE                        FL  26-40-50.0000N  080-50-26.0000W  N
03319.9*A    FD50        THE TRAILS                                 LURAVILLE                          FL  30-06-32.8010N  083-11-19.4910W  N
03308.5*A    FL35        GERACI AIRPARK                             LUTZ                               FL  28-10-30.0000N  082-29-16.0000W  N
03308.49*H   FD06        LAKE BIRD                                  LUTZ                               FL  28-10-51.2400N  082-27-20.1600W  N
03308.491*H  FA70        ST JOSEPH'S HOSPITAL NORTH                 LUTZ                               FL  28-07-50.0900N  082-30-33.3300W  N
03308.6*A    FL11        THRIFTS                                    MACCLENNY                          FL  30-20-57.8480N  082-07-15.4070W  N
03310.1*A    38FA        BLUE SPRINGS                               MADISON                            FL  30-29-00.7660N  083-14-59.5150W  N
